ts,complexity,scale
73.25,10.664367643744514,2.754644449804422
73.5,10.627818315600557,2.7452036271247118
73.75,15.262924755749651,3.942468261666724
74.0,18.892178164879002,4.879917447062742
74.25,20.738217647146385,5.356756073020141
74.5,20.706804869443673,5.348642039760749
74.75,19.815197906012695,5.118336760041442
75.0,18.892178164879002,4.879917447062742
75.25,20.2924141654309,5.2416034331604875
75.5,21.722853944832572,5.611091163773339
75.75,23.121880946531533,5.972464861126799
76.0,24.075104466515,6.218685918620604
76.25,24.552320725933207,6.34195259173965
76.5,25.029536985351413,6.465219264858697
76.75,25.982760505334884,6.7114403223525025
77.0,25.982760505334884,6.7114403223525025
77.25,26.45876776590015,6.834394706727262
77.5,27.38178750703384,7.072814019705962
77.75,27.38178750703384,7.072814019705962
78.0,28.440116459102267,7.346184187658928
78.25,28.885919940817754,7.461336827518582
78.5,29.94303989403324,7.7343947067272625
78.75,29.94303989403324,7.7343947067272625
79.0,29.94303989403324,7.7343947067272625
79.25,30.38884337574873,7.849547346586917
79.5,30.969956068398947,7.999650841420836
79.75,30.969956068398947,7.999650841420836
80.0,30.969956068398947,7.999650841420836
80.25,31.447172327817153,8.122917514539882
80.5,31.447172327817153,8.122917514539882
80.75,31.447172327817153,8.122917514539882
81.0,31.447172327817153,8.122917514539882
81.25,31.447172327817153,8.122917514539882
81.5,31.447172327817153,8.122917514539882
81.75,30.969956068398947,7.999650841420836
82.0,30.969956068398947,7.999650841420836
82.25,31.415759550114437,8.114803481280491
82.5,31.415759550114437,8.114803481280491
82.75,31.892975809532643,8.238070154399537
83.0,31.311863116882424,8.087966659565616
83.25,31.311863116882424,8.087966659565616
83.5,30.866059635166934,7.972814019705963
83.75,30.866059635166934,7.972814019705963
84.0,30.866059635166934,7.972814019705963
84.25,30.866059635166934,7.972814019705963
84.5,30.866059635166934,7.972814019705963
84.75,31.34327589458514,8.096080692825009
85.0,30.76216320193492,7.9459771979910885
85.25,30.76216320193492,7.9459771979910885
85.5,30.76216320193492,7.9459771979910885
85.75,30.76216320193492,7.9459771979910885
86.0,30.31635972021943,7.830824558131434
86.25,30.31635972021943,7.830824558131434
86.5,30.078974032079447,7.769506982618049
86.75,29.25803076815101,7.557454390178469
87.0,29.25803076815101,7.557454390178469
87.25,29.25803076815101,7.557454390178469
87.5,29.25803076815101,7.557454390178469
87.75,29.25803076815101,7.557454390178469
88.0,29.25803076815101,7.557454390178469
88.25,28.81222728643552,7.442301750318815
88.5,28.81222728643552,7.442301750318815
88.75,28.81222728643552,7.442301750318815
89.0,28.81222728643552,7.442301750318815
89.25,29.289443545853725,7.565568423437861
89.5,29.289443545853725,7.565568423437861
89.75,29.289443545853725,7.565568423437861
90.0,29.289443545853725,7.565568423437861
90.25,29.289443545853725,7.565568423437861
90.5,29.289443545853725,7.565568423437861
90.75,29.289443545853725,7.565568423437861
91.0,28.81222728643552,7.442301750318815
91.25,28.81222728643552,7.442301750318815
91.5,28.81222728643552,7.442301750318815
91.75,28.81222728643552,7.442301750318815
92.0,28.81222728643552,7.442301750318815
92.25,28.81222728643552,7.442301750318815
92.5,28.81222728643552,7.442301750318815
92.75,28.81222728643552,7.442301750318815
93.0,28.81222728643552,7.442301750318815
93.25,28.902407915962787,7.465595730694001
93.5,38.72362840884138,10.002452244346054
93.75,39.880370843843835,10.301242968266928
94.0,43.711803616159955,11.290915809042467
94.25,45.98704872549196,11.878619789413252
94.5,45.04738654485597,11.63590167456109
94.75,44.10794144943966,11.393239633600556
95.0,42.6749855479685,11.023101979623725
95.25,41.072813524004054,10.609255193683783
95.5,40.49832316936709,10.460862272534337
95.75,40.262037552784385,10.399828849453696
96.0,40.53827257100586,10.47118134640477
96.25,40.502084334958866,10.461833795110104
96.5,39.42024693400517,10.182391310409571
96.75,29.289443545853725,7.565568423437861
97.0,29.289443545853725,7.565568423437861
97.25,29.289443545853725,7.565568423437861
97.5,29.289443545853725,7.565568423437861
97.75,28.336220025870254,7.319347365944055
98.0,26.42977298590331,6.826905250956442
98.25,16.319433751791316,4.215368328443936
98.5,7.476793755549023,1.9312826703922374
98.75,5.11577380409847,1.321422740351684
99.0,4.6784981709894655,1.2084728744039368
99.25,4.4738710942037,1.155616965813965
99.5,4.4738710942037,1.155616965813965
99.75,4.4738710942037,1.155616965813965
100.0,4.4738710942037,1.155616965813965
100.25,10.836754553113094,2.7991726074012435
100.5,10.836754553113094,2.7991726074012435
100.75,10.836754553113094,2.7991726074012435
101.0,16.78080097598629,4.334541138863298
101.25,15.93241651479837,4.115400386651662
101.5,20.091251011007543,5.189642268152969
101.75,19.242866549819624,4.970501515941332
102.0,21.971227573629825,5.67524696380762
102.25,20.698650881847946,5.346535835490164
102.5,18.569269180945398,4.796508897198423
102.75,18.145076950351438,4.686938521092605
103.0,18.145076950351438,4.686938521092605
103.25,13.391217439882533,3.458999542137346
103.5,12.2051634109672,3.152637528273708
103.75,12.206541038796853,3.152993374488094
104.0,7.624891939823378,1.9695369630953556
104.25,7.634604411554335,1.9720457294133713
104.5,7.449958420974346,1.9243510071268453
104.75,7.086199976774111,1.8303908950171102
105.0,4.902087478614036,1.266226795298151
105.25,4.4738710942037,1.155616965813965
105.5,4.5584030585655935,1.177451875696985
105.75,4.8134456564043075,1.2433302943777416
106.0,4.907782195061665,1.2676977610018578
106.25,4.910652578926605,1.2684391914594813
106.5,6.18388772337137,1.5973204004637505
106.75,15.9691114801466,4.124878827944105
107.0,30.26681841019677,7.818027859888383
107.25,32.74649023772855,8.458535995507047
107.5,30.375296707254286,7.846048193479283
107.75,27.913864679615514,7.210251463657875
108.0,27.90681536097935,7.20843059934555
108.25,27.64621620053976,7.141116900595706
108.5,26.38578483665077,6.815542954077381
108.75,24.748768222364646,6.392695685357607
109.0,20.471276610681727,5.287804244924291
109.25,20.16574149556152,5.208883427750483
109.5,20.16574149556152,5.208883427750483
109.75,13.79857750774142,3.5642221101775293
110.0,12.952342377847613,3.3456365379557336
110.25,7.866334273308321,2.031902384665593
110.5,4.4738710942037,1.155616965813965
110.75,4.4738710942037,1.155616965813965
111.0,4.4738710942037,1.155616965813965
111.25,4.4738710942037,1.155616965813965
111.5,4.4738710942037,1.155616965813965
111.75,4.4738710942037,1.155616965813965
112.0,9.496521659274718,2.4529856391919496
112.25,15.79567277652859,4.080078988116484
112.5,18.805173528381715,4.857443837089713
112.75,20.86145076025137,5.3885876285691365
113.0,23.183497503084023,5.988380638901297
113.25,24.10651724421772,6.226799951879997
113.5,24.10651724421772,6.226799951879997
113.75,25.982760505334884,6.7114403223525025
114.0,26.45997676475309,6.834706995471549
114.25,27.38178750703384,7.072814019705962
114.5,28.432394083391504,7.344189470287811
114.75,28.432394083391504,7.344189470287811
115.0,28.739306826341366,7.423466133676006
115.25,30.133128431120195,7.783495258316477
115.5,30.913293178976016,7.985014613650659
115.75,32.19283710995533,8.315525404866731
116.0,32.61702934054929,8.425095780972551
116.25,32.88114644423576,8.493318177093256
116.5,33.72845623977663,8.712181339309973
116.75,32.99872889406246,8.523690146030345
117.0,32.81683815914178,8.476707116172594
117.25,32.634947424221096,8.42972408631484
117.5,31.085832752035145,8.029582204826845
117.75,31.906776015963583,8.241634797266425
118.0,30.4370519042143,7.861999782568793
118.25,29.25803076815101,7.557454390178469
118.5,29.25803076815101,7.557454390178469
118.75,29.25803076815101,7.557454390178469
119.0,29.25803076815101,7.557454390178469
119.25,29.25803076815101,7.557454390178469
119.5,29.25803076815101,7.557454390178469
119.75,28.81222728643552,7.442301750318815
120.0,28.81222728643552,7.442301750318815
120.25,28.81222728643552,7.442301750318815
120.5,28.81222728643552,7.442301750318815
120.75,29.289443545853725,7.565568423437861
121.0,29.289443545853725,7.565568423437861
121.25,29.289443545853725,7.565568423437861
121.5,29.289443545853725,7.565568423437861
121.75,29.289443545853725,7.565568423437861
122.0,29.289443545853725,7.565568423437861
122.25,29.289443545853725,7.565568423437861
122.5,29.289443545853725,7.565568423437861
122.75,28.81222728643552,7.442301750318815
123.0,28.81222728643552,7.442301750318815
123.25,28.81222728643552,7.442301750318815
123.5,28.81222728643552,7.442301750318815
123.75,28.81222728643552,7.442301750318815
124.0,28.81222728643552,7.442301750318815
124.25,28.81222728643552,7.442301750318815
124.5,28.81222728643552,7.442301750318815
124.75,28.81222728643552,7.442301750318815
125.0,29.289443545853725,7.565568423437861
125.25,29.289443545853725,7.565568423437861
125.5,29.289443545853725,7.565568423437861
125.75,29.289443545853725,7.565568423437861
126.0,29.289443545853725,7.565568423437861
